feature,importance
wow_change,922
deposit_lag_7d,707
total_deposits_to_date,319
deposit_frequency_to_date,298
avg_deposit_to_date,287
days_since_last_deposit,216
rolling_std_30d,207
deposit_same_day_4weeks_ago,198
customer_recent_avg,190
non_zero_deposits_to_date,185
rolling_max_30d,149
growth_7d_vs_30d,143
deposit_momentum,132
day_of_month,127
deposit_same_day_last_week,125
day_of_year,121
rolling_mean_30d,116
volatility_ratio,112
avg_same_day_last_4weeks,112
rolling_sum_30d,103
rolling_mean_14d,94
deposit_lag_1d,86
rolling_std_14d,85
rolling_sum_14d,81
day_of_week,76
num_deposits_to_date,72
rolling_max_14d,67
rolling_max_7d,67
days_from_start,62
customer_recent_activity,58
deposit_lag_14d,56
rolling_std_7d,51
rolling_mean_7d,51
deposit_lag_3d,50
dow_cos,46
dow_sin,42
deposit_lag_30d,38
rolling_sum_7d,37
rolling_min_30d,24
month_cos,17
deposit_same_day_2weeks_ago,17
rolling_min_7d,16
month_sin,10
customer_recent_trend,8
month,6
week_of_year,4
rolling_min_14d,4
is_month_end,2
is_weekend,2
prev_day_had_deposit,1
is_month_start,1
