feature,importance
wow_change,0.7233399168133091
days_since_last_deposit,0.13264301896530742
deposit_lag_7d,0.04567534664810844
deposit_same_day_last_week,0.04181166320197642
rolling_std_30d,0.023507011530884116
customer_recent_avg,0.01359276215095131
avg_deposit_to_date,0.012741496178125908
total_deposits_to_date,0.001619243813584732
deposit_frequency_to_date,0.0013741866541793553
non_zero_deposits_to_date,0.0006536373064451188
num_deposits_to_date,0.0006108941455163134
days_from_start,0.0004983867679924546
rolling_std_7d,0.00038133447617539023
rolling_std_14d,0.00021520515585228404
rolling_sum_30d,0.0001774418041231165
rolling_mean_30d,0.00015888427189589025
rolling_max_30d,0.000143154239138268
rolling_max_7d,0.00013829899159627885
rolling_mean_14d,0.00011031362677808669
rolling_mean_7d,9.304283128512519e-05
growth_7d_vs_30d,6.554652123127917e-05
day_of_year,6.532621057549863e-05
rolling_max_14d,5.172377546599518e-05
avg_same_day_last_4weeks,4.0690601047857405e-05
volatility_ratio,3.589820838645901e-05
day_of_month,3.3263630886605025e-05
deposit_lag_1d,2.393760166290419e-05
customer_recent_activity,2.10172766465591e-05
rolling_sum_14d,1.727344507031797e-05
deposit_momentum,1.658754854778286e-05
rolling_min_14d,1.487360023011207e-05
rolling_min_7d,1.481701653880646e-05
week_of_year,1.4618119630866204e-05
prev_day_had_deposit,1.3537282897467795e-05
rolling_sum_7d,1.3249074835676975e-05
dow_sin,1.2057070830442428e-05
deposit_same_day_4weeks_ago,1.0158310844732112e-05
rolling_min_30d,8.335091404871245e-06
deposit_lag_14d,6.1726734513732465e-06
dow_cos,5.677568915353172e-06
day_of_week,4.943158896104371e-06
deposit_lag_3d,4.795424034790225e-06
deposit_lag_30d,4.140152986161413e-06
month_cos,3.5142980533873223e-06
month,3.2576334254119714e-06
deposit_same_day_2weeks_ago,3.0480271583403907e-06
customer_recent_trend,2.9384525700136334e-06
is_month_start,1.235235404143131e-06
month_sin,1.0678501077589529e-06
is_weekend,6.807670988910137e-07
is_month_end,3.787979390152093e-07
