feature,importance
wow_change,0.3261747
days_since_last_deposit,0.21443503
deposit_lag_7d,0.0600371
is_weekend,0.051795222
customer_recent_avg,0.04018641
rolling_std_30d,0.036111448
deposit_same_day_last_week,0.031210244
avg_deposit_to_date,0.01597781
month,0.012235245
total_deposits_to_date,0.012203182
rolling_std_14d,0.010961808
days_from_start,0.010428061
deposit_frequency_to_date,0.009610401
rolling_mean_7d,0.008946821
dow_sin,0.0085776355
num_deposits_to_date,0.007741302
non_zero_deposits_to_date,0.0073759127
rolling_max_30d,0.0070651723
month_cos,0.006196998
growth_7d_vs_30d,0.0061467085
rolling_mean_30d,0.0060572773
deposit_momentum,0.0059972634
rolling_max_14d,0.005839901
rolling_mean_14d,0.005680602
rolling_sum_30d,0.00560421
day_of_year,0.005397503
month_sin,0.0052531646
rolling_sum_14d,0.0050219013
rolling_max_7d,0.005014417
customer_recent_trend,0.0048695724
is_month_start,0.0048389905
avg_same_day_last_4weeks,0.0045219976
day_of_month,0.003897335
volatility_ratio,0.0038616608
rolling_std_7d,0.00375775
deposit_same_day_4weeks_ago,0.0037577224
is_month_end,0.0034806882
deposit_lag_30d,0.0034338941
deposit_lag_14d,0.0033721046
week_of_year,0.0032960642
rolling_sum_7d,0.0032290097
deposit_lag_1d,0.0031376134
deposit_lag_3d,0.0029980897
customer_recent_activity,0.00295001
day_of_week,0.00290327
deposit_same_day_2weeks_ago,0.00284343
dow_cos,0.0026472947
prev_day_had_deposit,0.0012258933
rolling_min_7d,0.0009460309
rolling_min_14d,0.00042716644
rolling_min_30d,0.0003209413
